logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id
-1.331,5.712,#858585,0.2054,0.5772,Y95B8A.8,2588,WBGene00022388,190806
-1.082,6.025,#858585,0.3977,0.9279,pde-6,3050,WBGene00022389,190808
0.7145,3.687,#858585,0.8665,1.0,Y95B8A.6,1915,WBGene00022386,171674
0.6709,1.858,#858585,0.7599,1.0,him-19,1409,WBGene00022390,190809
-0.7614,3.902,#858585,0.7809,1.0,gpa-16,1302,WBGene00001678,171675
-0.5454,5.313,#858585,0.9424,1.0,prhg-1,2016,WBGene00022391,190810
-1.579,5.502,#858585,0.07277,0.2567,Y95B8A.2,913,WBGene00022383,171676
-2.453,3.623,#858585,0.0108,0.05666,nas-30,2225,WBGene00003548,190803
0.478,3.418,#858585,0.9601,1.0,mig-1,1777,WBGene00003238,171677
0.05181,5.137,#858585,0.9912,1.0,shc-1,5325,WBGene00018788,3565745
-0.7704,2.727,#858585,0.7853,1.0,C54G6.3,1140,WBGene00016932,183815
1.473,0.6372,#858585,0.1101,0.3575,C54G6.2,1467,WBGene00016931,183814
-1.798,3.614,#858585,0.3304,0.8165,spp-17,371,WBGene00005002,171681
0.9119,1.422,#858585,0.6326,1.0,spp-23,395,WBGene00021335,259362
-0.6529,5.488,#858585,0.9127,1.0,mrpl-38,1332,WBGene00021327,171682
-0.577,4.626,#858585,0.822,1.0,spd-1,1791,WBGene00004952,171683
-1.023,4.364,#858585,0.4762,1.0,Y34D9A.3,2489,WBGene00021329,171684
-1.138,3.721,#858585,0.3674,0.8777,Y34D9A.7,1398,WBGene00021332,189588
1.431,5.461,#858585,0.1052,0.3448,glrx-10,414,WBGene00021331,171685
1.282,3.24,#858585,0.2161,0.6006,Y34D9A.8,792,WBGene00021333,189589
0.1507,6.848,#858585,0.9748,1.0,vps-4,1791,WBGene00021334,189590
0.1953,3.625,#858585,0.991,1.0,npr-23,1486,WBGene00021328,189587
-1.25,5.23,#858585,0.3287,0.8145,gsa-1,2312,WBGene00001745,171687
0.2054,2.045,#858585,0.9884,1.0,R06A10.1,559,WBGene00019909,187633
0.6819,4.759,#858585,0.8621,1.0,R06A10.4,1581,WBGene00019911,171688
-0.2071,2.043,#858585,0.9848,1.0,ZK993.2,1471,WBGene00022838,191481
2.154,-0.1691,#858585,0.1897,0.5435,ZK993.5,1325,WBGene00236809,24105306
-0.476,4.429,#858585,0.823,1.0,Y48G8AL.10,3887,WBGene00021689,3565634
-0.184,5.023,#858585,0.9943,1.0,aps-3,1470,WBGene00000165,171691
-0.1499,10.53,#858585,0.9562,1.0,rpl-17,637,WBGene00004429,171692
-0.3296,2.415,#858585,0.9297,1.0,Y48G8AL.7,785,WBGene00021687,171693
-1.579,4.233,#858585,0.02429,0.1063,haf-6,2207,WBGene00001816,171694
-1.21,5.945,#858585,0.3298,0.816,smg-2,4677,WBGene00004880,171696
-0.4328,6.894,#858585,0.9229,1.0,Y48G8AL.5,2524,WBGene00021686,171697
-0.8769,5.816,#858585,0.6686,1.0,herc-1,3240,WBGene00021685,171700
1.237,5.737,#858585,0.1792,0.521,Y48G8AL.13,1217,WBGene00021691,171699
0.389,2.814,#858585,0.9134,1.0,Y48G8AL.15,572,WBGene00021692,259363
1.265,1.807,#858585,0.211,0.5895,Y48G8AR.2,1175,WBGene00021693,171702
-1.692,6.553,#858585,0.09975,0.3306,dapk-1,4997,WBGene00003400,187322
1.267,1.163,#858585,0.3124,0.7854,K12C11.3,629,WBGene00019674,187321
1.395,1.719,#858585,0.2219,0.6131,K12C11.6,503,WBGene00045052,4926921
1.027,1.631,#858585,0.4863,1.0,K12C11.7,622,WBGene00045053,4926895
-0.3683,6.36,#858585,0.9515,1.0,smo-1,475,WBGene00004888,266820
-0.8721,5.253,#858585,0.7133,1.0,K12C11.1,1634,WBGene00019673,171704
-0.25,5.312,#858585,0.9917,1.0,Y92H12BL.1,2045,WBGene00022363,190786
-0.3871,4.367,#858585,0.9886,1.0,Y92H12BL.5,1384,WBGene00022366,259365
-1.026,3.969,#858585,0.4719,1.0,Y92H12BL.4,1194,WBGene00022365,190787
-1.12,3.591,#858585,0.3939,0.9212,Y92H12BM.1,1108,WBGene00022367,190788
-0.6138,3.573,#858585,0.7664,1.0,Y92H12BR.7,1758,WBGene00022372,190789
-1.285,3.234,#858585,0.1786,0.5193,set-29,1283,WBGene00022371,171705
-0.2274,4.308,#858585,0.9787,1.0,Y92H12BR.2,701,WBGene00022368,171706
-0.7621,7.179,#858585,0.7504,1.0,Y92H12BR.3,2512,WBGene00022369,171707
-0.9761,3.422,#858585,0.526,1.0,Y92H12BR.4,1205,WBGene00022370,NA
-1.052,5.673,#858585,0.4239,0.969,mrpl-15,1027,WBGene00022373,171710
-0.6469,4.478,#858585,0.7802,1.0,F37F2.2,521,WBGene00018159,171711
-0.8257,4.477,#858585,0.6764,1.0,spe-15,3889,WBGene00004969,171712
2.989,0.4579,#858585,0.01312,0.06586,gst-25,649,WBGene00001773,24104550
0.2867,5.043,#858585,0.9166,1.0,acs-16,1864,WBGene00018579,171714
-0.1254,4.72,#858585,0.9948,1.0,dyb-1,1969,WBGene00001115,171715
-0.9373,5.722,#858585,0.5542,1.0,Y92H12A.5,4592,WBGene00022361,171716
-1.636,4.872,#858585,0.1457,0.4456,Y92H12A.4,3880,WBGene00022360,3565441
-0.0224,6.708,#858585,0.9951,1.0,Y92H12A.2,2659,WBGene00022358,171719
-1.264,6.532,#858585,0.2574,0.6835,src-1,2629,WBGene00005077,171722
-1.113,3.521,#858585,0.3276,0.8123,Y73E7A.3,1963,WBGene00022270,190665
0.2408,5.772,#858585,0.9749,1.0,cpx-1,762,WBGene00022271,190666
2.415,-0.1845,#858585,0.03298,0.1346,Y73E7A.5,648,WBGene00022272,NA
-0.1125,4.343,#858585,0.9967,1.0,Y73E7A.2,1548,WBGene00022269,171723
-0.05394,3.126,#858585,0.9896,1.0,Y73E7A.6,535,WBGene00022273,171724
-0.2898,4.035,#858585,0.9661,1.0,adpr-1,1814,WBGene00044440,3565128
-0.4096,4.327,#858585,0.9845,1.0,bre-4,1430,WBGene00000269,190668
1.445,5.815,#858585,0.05377,0.2,Y73E7A.1,827,WBGene00022268,171725
-0.7814,6.294,#858585,0.6827,1.0,mab-20,2618,WBGene00003111,171727
-1.443,2.756,#858585,0.1133,0.3654,Y71G12B.23,967,WBGene00022158,171731
-0.2691,2.611,#858585,0.9697,1.0,Y71G12B.35,1104,WBGene00185098,13179386
0.9984,1.95,#858585,0.5031,1.0,drag-1,1287,WBGene00022154,190602
0.5997,2.535,#858585,0.8842,1.0,Y71G12B.31,1272,WBGene00044348,3565511
-0.1437,7.237,#858585,0.9938,1.0,ubc-3,1330,WBGene00006702,171734
0.1075,3.575,#858585,0.9762,1.0,lsm-6,355,WBGene00003080,190601
-0.5012,5.818,#858585,0.8397,1.0,Y71G12B.13,1663,WBGene00022153,190600
-0.04981,5.26,#858585,0.9992,1.0,atg-5,1037,WBGene00022152,171735
-1.629,8.527,#858585,0.2,0.5652,tln-1,8599,WBGene00006771,171736
0.1729,4.125,#858585,0.9913,1.0,Y71G12B.10,1064,WBGene00022150,171738
-0.8034,5.229,#858585,0.6894,1.0,lin-65,2624,WBGene00022149,171739
-0.9292,6.043,#858585,0.5903,1.0,ddx-27,2427,WBGene00022148,171743
-1.17,6.493,#858585,0.282,0.7298,Y71G12B.6,1249,WBGene00022146,171744
0.1078,-0.07707,#858585,0.9523,1.0,Y71G12B.5,3773,WBGene00022145,190598
0.202,8.017,#858585,0.9877,1.0,pghm-1,1169,WBGene00022144,171746
0.4479,0.1104,#858585,0.8935,1.0,Y71G12B.32,863,WBGene00044349,3565893
0.1918,2.0,#858585,0.9897,1.0,Y71G12B.2,966,WBGene00022142,190596
-0.1899,2.44,#858585,0.9333,1.0,C53H9.3,483,WBGene00044746,4363011
0.1399,7.722,#858585,0.99,1.0,C53H9.2,1725,WBGene00016907,171749
-0.04834,10.81,#858585,0.9875,1.0,rpl-27,464,WBGene00004441,171750
-1.57,8.369,#858585,0.08492,0.2908,egl-30,2673,WBGene00001196,171751
-0.9334,4.672,#858585,0.5768,1.0,emr-1,657,WBGene00001309,171752
-1.498,6.725,#858585,0.07578,0.2655,nlp-12,380,WBGene00003750,171753
-1.286,2.576,#858585,0.1576,0.4735,tag-96,1390,WBGene00006461,171755
-0.9177,5.908,#858585,0.5917,1.0,scm-1,1403,WBGene00004743,171756
-0.7214,6.887,#858585,0.7088,1.0,tub-2,2921,WBGene00022139,171758
-1.347,4.732,#858585,0.1542,0.4656,trpp-10,3726,WBGene00022138,3564796
-0.01241,4.636,#858585,0.995,1.0,Y51F10.7,792,WBGene00021768,171761
-0.9346,4.591,#858585,0.5985,1.0,hex-4,1777,WBGene00021766,245995
-0.4709,5.146,#858585,0.9714,1.0,Y51F10.4,1978,WBGene00021765,245996
0.5487,5.025,#858585,0.9505,1.0,spe-48,1269,WBGene00021771,245997
0.09636,3.48,#858585,0.996,1.0,Y51F10.11,1126,WBGene00044438,3565247
-0.2756,5.115,#858585,0.9597,1.0,Y51F10.3,1256,WBGene00021764,259367
0.2051,2.671,#858585,0.9931,1.0,Y51F10.2,1126,WBGene00021763,245998
-0.9109,4.798,#858585,0.5708,1.0,gap-3,3310,WBGene00021238,260016
0.3589,5.702,#858585,0.9423,1.0,crtc-1,2163,WBGene00021237,259368
-0.39,4.881,#858585,0.8572,1.0,Y20F4.4,2324,WBGene00021239,245999
-0.4419,1.512,#858585,0.884,1.0,linc-30,2375,WBGene00219749,NA
-0.9466,1.172,#858585,0.5486,1.0,Y20F4.8,1038,WBGene00044435,3565842
-0.9684,4.312,#858585,0.5436,1.0,Y37E3.1,1413,WBGene00021346,171762
-0.1286,3.477,#858585,0.969,1.0,rpb-10,343,WBGene00021347,171763
-0.9343,5.693,#858585,0.5579,1.0,moag-4,510,WBGene00021348,171764
1.028,3.022,#858585,0.4759,1.0,arl-13,1135,WBGene00021349,171765
-0.2447,9.993,#858585,0.9298,1.0,rla-1,453,WBGene00004409,171766
0.002886,10.72,#858585,0.9991,1.0,Y37E3.8,497,WBGene00021350,171767
-0.8398,6.94,#858585,0.6944,1.0,phb-1,1078,WBGene00004014,171768
-1.185,7.368,#858585,0.281,0.7279,eif-2alpha,1547,WBGene00021351,171769
1.269,5.874,#858585,0.1325,0.4139,pcyt-2.1,1622,WBGene00021352,171770
0.8004,3.302,#858585,0.7822,1.0,iglr-3,1493,WBGene00021353,171771
-1.376,6.336,#858585,0.209,0.585,npp-13,3266,WBGene00003799,171774
2.212,3.664,#858585,0.01064,0.05602,fpn-1.1,1732,WBGene00021354,171773
-1.259,7.608,#858585,0.2135,0.5951,Y37E3.17,2724,WBGene00021355,171775
-1.178,2.26,#858585,0.3469,0.8446,Y37E3.30,831,WBGene00235158,24105068
-1.563,7.153,#858585,0.1668,0.494,afd-1,5665,WBGene00021009,171776
-1.832,2.611,#858585,0.01106,0.05771,W03F11.5,953,WBGene00021008,171777
0.9873,0.3213,#858585,0.5127,1.0,gcy-17,3313,WBGene00001542,191649
1.559,2.957,#858585,0.08317,0.2863,slc-17.6,2171,WBGene00017398,171781
-0.4947,6.387,#858585,0.7992,1.0,abt-2,6670,WBGene00000020,171782
1.596,-0.2779,#858585,0.2272,0.6246,Y39G10AL.1,1211,WBGene00021458,171783
1.201,5.786,#858585,0.2674,0.7026,cdk-7,1347,WBGene00000408,171784
0.8209,8.009,#858585,0.6672,1.0,Y39G10AR.11,2868,WBGene00021469,171785
-1.9,4.304,#858585,0.03749,0.1489,tpxl-1,2151,WBGene00021470,171786
0.4418,6.121,#858585,0.8576,1.0,epg-2,2290,WBGene00021468,171787
-1.081,4.729,#858585,0.4239,0.969,icp-1,2103,WBGene00002047,171788
-0.7998,4.148,#858585,0.7973,1.0,Y39G10AR.9,1509,WBGene00021467,171789
-1.442,3.673,#858585,0.04885,0.1847,nsun-4,1525,WBGene00021476,171790
-0.346,4.123,#858585,0.9898,1.0,tbca-1,462,WBGene00021475,171791
-0.8117,7.454,#858585,0.7122,1.0,eif-2gamma,1693,WBGene00021466,171792
0.8773,2.858,#858585,0.6505,1.0,Y39G10AR.32,486,WBGene00219275,13179495
0.5721,3.985,#858585,0.8985,1.0,ugt-31,1673,WBGene00021464,189771
0.6818,2.547,#858585,0.7462,1.0,nekl-1,3169,WBGene00021461,189769
-0.4952,2.264,#858585,0.8116,1.0,sydn-1,1737,WBGene00021473,189773
-1.269,6.756,#858585,0.2995,0.763,dot-1.1,3553,WBGene00021474,171797
-1.572,4.434,#858585,0.03232,0.1326,zwl-1,2062,WBGene00021460,171798
-0.7071,4.511,#858585,0.8861,1.0,F23C8.13,799,WBGene00017741,171799
-0.169,6.495,#858585,0.973,1.0,F23C8.5,1371,WBGene00017734,171800
1.291,6.557,#858585,0.1253,0.3959,did-2,896,WBGene00017735,171801
-1.479,0.5804,#858585,0.2009,0.5673,F23C8.7,1437,WBGene00017736,184892
-0.8116,3.194,#858585,0.7182,1.0,tipn-1,884,WBGene00017738,171803
-0.715,4.443,#858585,0.8636,1.0,ubxn-1,1040,WBGene00017733,171804
-0.1825,3.092,#858585,0.986,1.0,F23C8.3,807,WBGene00017732,184891
-0.1099,1.189,#858585,0.9826,1.0,F23C8.1,1259,WBGene00017731,NA
-0.5688,2.561,#858585,0.8958,1.0,inx-19,1623,WBGene00002141,171805
0.9034,5.412,#858585,0.6275,1.0,Y74C10AL.2,672,WBGene00022280,171806
-0.2871,4.816,#858585,0.9467,1.0,abtm-1,2479,WBGene00022281,171807
-0.5876,7.142,#858585,0.9262,1.0,eif-3.I,1267,WBGene00001232,171809
-0.5213,5.695,#858585,0.9045,1.0,Y23H5B.6,2317,WBGene00021277,171810
-1.424,5.961,#858585,0.0712,0.2522,Y23H5B.5,2265,WBGene00021276,171811
-0.6927,1.691,#858585,0.7093,1.0,Y23H5B.3,625,WBGene00021274,189526
-1.794,1.441,#858585,0.03137,0.1293,Y23H5B.8,625,WBGene00021279,189528
-1.035,3.066,#858585,0.4551,1.0,Y23H5B.1,701,WBGene00021272,189524
0.5011,5.969,#858585,0.9412,1.0,aat-5,1895,WBGene00000006,171814
-0.9916,7.089,#858585,0.509,1.0,fbp-1,2130,WBGene00001404,266822
-0.2377,6.682,#858585,0.9455,1.0,ctn-1,3139,WBGene00000832,171818
-1.392,4.548,#858585,0.08828,0.299,pid-3,1054,WBGene00021270,171819
-0.07683,1.736,#858585,0.9883,1.0,Y23H5A.2,666,WBGene00021269,171820
-0.8338,7.142,#858585,0.6521,1.0,cars-1,2988,WBGene00000800,171821
-0.3771,4.239,#858585,0.9419,1.0,cars-2,1744,WBGene00000801,NA
0.2669,0.2089,#858585,0.9451,1.0,Y23H5A.8,666,WBGene00023172,24105057
-0.5074,3.928,#858585,0.9179,1.0,mage-1,853,WBGene00018230,185532
1.529,2.297,#858585,0.1243,0.3934,F40E3.5,1230,WBGene00018232,171824
1.084,6.247,#858585,0.3831,0.9028,F32B5.6,3041,WBGene00017979,171827
-0.7779,6.056,#858585,0.7462,1.0,F32B5.7,2753,WBGene00017980,171828
0.4321,6.558,#858585,0.8611,1.0,cpz-1,1059,WBGene00000788,171829
-0.4798,3.402,#858585,0.955,1.0,F32B5.2,1085,WBGene00017976,185196
-1.178,0.5939,#858585,0.3154,0.7905,F32B5.1,1360,WBGene00017975,171831
-0.4573,4.928,#858585,0.9368,1.0,dnj-30,824,WBGene00001048,171833
-0.8715,4.534,#858585,0.6404,1.0,Y71F9B.6,2318,WBGene00022128,260184
0.772,5.399,#858585,0.7275,1.0,snr-7,479,WBGene00004920,171834
-0.5861,6.558,#858585,0.939,1.0,yop-1,766,WBGene00022127,171835
-0.3324,3.85,#858585,0.986,1.0,Y71F9B.2,1026,WBGene00022126,171836
-1.925,4.483,#858585,0.02854,0.1203,lron-11,1842,WBGene00022129,171837
-1.49,2.994,#858585,0.06177,0.2242,plk-2,2177,WBGene00004043,171838
0.2812,2.614,#858585,0.9074,1.0,Y71F9B.9,1061,WBGene00022130,171839
-1.148,6.145,#858585,0.4075,0.9427,sop-3,4623,WBGene00004946,171840
0.9677,2.932,#858585,0.5364,1.0,Y71F9B.1,458,WBGene00022125,190590
0.7438,4.464,#858585,0.7585,1.0,Y71F9B.13,1871,WBGene00022131,171841
1.268,1.063,#858585,0.3631,0.8706,W03D8.8,1376,WBGene00020989,189157
1.933,1.533,#858585,0.04989,0.188,W03D8.2,1286,WBGene00020985,171844
-1.169,7.176,#858585,0.3498,0.8489,itx-1,5148,WBGene00002174,171846
-1.333,0.472,#858585,0.2542,0.6773,W03D8.3,577,WBGene00020986,171848
-2.179,2.09,#858585,0.02134,0.09578,W03D8.13,100,WBGene00220118,NA
-2.184,5.357,#858585,0.0202,0.09179,pop-1,1549,WBGene00004077,171849
1.959,0.7716,#858585,0.05081,0.1907,ccb-2,1417,WBGene00021125,189330
-1.53,5.54,#858585,0.1033,0.34,W10C8.5,1338,WBGene00021128,171850
0.7,5.157,#858585,0.8961,1.0,Y71F9AL.10,1515,WBGene00022115,171852
-1.54,4.498,#858585,0.04434,0.1706,Y71F9AL.12,870,WBGene00022117,190588
-0.3835,10.8,#858585,0.9162,1.0,rpl-1,837,WBGene00004412,171853
-0.9946,8.049,#858585,0.5077,1.0,Y71F9AL.9,1435,WBGene00022114,171854
1.119,1.484,#858585,0.369,0.8808,Y71F9AL.8,1073,WBGene00022113,171855
0.2846,4.227,#858585,0.9804,1.0,dnc-5,571,WBGene00022118,171856
-0.5191,6.952,#858585,0.9538,1.0,arx-1,1601,WBGene00000199,171857
2.492,-0.02367,#858585,0.02763,0.1175,Y71F9AL.7,934,WBGene00022112,171858
-0.4994,0.5028,#858585,0.8913,1.0,Y71F9AL.6,816,WBGene00022111,171859
-2.001,8.24,#858585,0.03429,0.1387,copa-1,3991,WBGene00022119,171860
-0.6823,3.787,#858585,0.7936,1.0,gst-43,693,WBGene00001791,190586
2.407,1.386,#858585,0.02966,0.124,Y71F9AL.4,1755,WBGene00022110,171861
-0.7438,4.38,#858585,0.7173,1.0,parp-1,2984,WBGene00004049,266823
2.169,0.8182,#858585,0.009928,0.05308,Y71F9AL.2,1536,WBGene00022108,171863
-0.5986,4.019,#858585,0.9134,1.0,Y71F9AL.1,1458,WBGene00022107,171864
0.7043,5.785,#858585,0.8285,1.0,nxt-1,624,WBGene00003836,171866
-1.006,5.64,#858585,0.4959,1.0,cogc-3,2831,WBGene00022121,171867
-1.08,6.496,#858585,0.4176,0.9605,bam-2,3442,WBGene00000237,171868
0.2092,2.159,#858585,0.9636,1.0,Y71F9AR.4,556,WBGene00044894,4927045
-0.1303,1.97,#858585,0.9881,1.0,Y71F9AR.2,785,WBGene00022123,190589
0.1303,4.732,#858585,0.9866,1.0,supr-1,2325,WBGene00022124,171869
0.04376,2.531,#858585,0.9926,1.0,dnj-28,1710,WBGene00001046,171870
0.1117,6.339,#858585,0.9757,1.0,nduf-5,480,WBGene00021839,266824
0.7747,2.877,#858585,0.727,1.0,Y54E10BL.3,904,WBGene00021838,190263
-0.6209,6.129,#858585,0.9155,1.0,mek-2,1793,WBGene00003186,171872
-0.9953,4.885,#858585,0.5077,1.0,col-48,901,WBGene00000625,171873
0.9138,4.985,#858585,0.6399,1.0,Y54E10BR.3,1161,WBGene00021842,171875
-0.5348,6.322,#858585,0.9103,1.0,sec-11,721,WBGene00021844,171876
0.08371,5.491,#858585,0.9961,1.0,rpb-7,720,WBGene00021845,171877
-0.5786,3.342,#858585,0.914,1.0,Y54E10BR.2,1129,WBGene00021841,171878
-0.664,3.686,#858585,0.8897,1.0,mod-5,2061,WBGene00003387,171879
0.1254,3.544,#858585,0.9943,1.0,ztf-23,1484,WBGene00021846,171880
-1.222,4.032,#858585,0.2425,0.6549,pign-1,3045,WBGene00021840,171881
0.243,4.544,#858585,0.9652,1.0,arx-7,640,WBGene00000205,171882
-0.4124,6.599,#858585,0.8905,1.0,M01B12.4,2730,WBGene00019697,3565638
0.5139,6.761,#858585,0.8882,1.0,riok-1,2829,WBGene00019698,171883
0.879,4.11,#858585,0.704,1.0,nhr-64,1252,WBGene00003654,171884
0.4105,4.427,#858585,0.9769,1.0,C45E1.4,876,WBGene00016663,171885
0.8068,4.541,#858585,0.6815,1.0,K09H9.8,693,WBGene00045387,6418598
1.88,3.317,#858585,0.08632,0.2944,K09H9.5,580,WBGene00019597,187241
-0.6712,6.744,#858585,0.707,1.0,lpd-6,1842,WBGene00003062,171886
-0.7092,3.304,#858585,0.8103,1.0,dscc-1,1398,WBGene00019595,171887
