,logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id,cellTypes
21,0.443,2.224,#858585,0.8986,1.0,F56C11.3,547,WBGene00018955,171611.0,
22,-1.411,5.28,#858585,0.2786,0.7233,atm-1,7662,WBGene00000227,3565793.0,
23,-0.6752,2.603,#858585,0.8294,1.0,Y48G1BL.7,1064,WBGene00021666,3565824.0,
24,-0.9512,2.417,#858585,0.5395,1.0,puf-10,1468,WBGene00004246,,
25,-0.6681,2.254,#858585,0.7349,1.0,snpc-3.3,853,WBGene00021662,190031.0,
26,0.9978,2.22,#858585,0.5192,1.0,Y48G1BM.6,3780,WBGene00021671,,
27,-1.632,5.168,#858585,0.07144,0.2529,Y48G1BR.1,2078,WBGene00021675,24105124.0,
28,1.607,0.2107,#858585,0.1587,0.4758,C53D5.3,222,WBGene00016904,171616.0,
29,0.9181,3.213,#858585,0.6275,1.0,marc-4,946,WBGene00016903,171616.0,
30,-0.08871,3.967,#858585,0.998,1.0,ztf-3,1405,WBGene00016905,171617.0,"['ASEL', 'ASER', 'neurons', 'pharynx', 'and rectum']"
31,-0.7613,5.222,#858585,0.8377,1.0,C53D5.1,1768,WBGene00016902,171618.0,
32,-1.642,3.728,#858585,0.02668,0.1142,C53D5.5,2368,WBGene00016906,171619.0,
33,-1.5,8.655,#858585,0.1921,0.5487,imb-3,3710,WBGene00002077,3565440.0,
34,0.5597,2.108,#858585,0.921,1.0,Y48G1A.7,921,WBGene00235385,,
35,-1.711,5.515,#858585,0.08357,0.2873,xpo-2,3252,WBGene00002079,171621.0,
36,-1.105,5.237,#858585,0.3799,0.8979,nol-14,2697,WBGene00021660,171622.0,
37,-0.8422,4.635,#858585,0.7339,1.0,daf-25,1288,WBGene00000917,171623.0,"['intestine', 'sensory neurons']"
38,-0.5211,2.165,#858585,0.8619,1.0,mbtr-1,2285,WBGene00021661,171624.0,
39,2.498,-0.2016,#858585,0.02559,0.1106,Y48G1A.2,728,WBGene00021658,171625.0,
40,-1.676,3.917,#858585,0.05057,0.1901,Y48G1A.1,3059,WBGene00021657,190030.0,
41,2.5,1.731,#858585,0.05258,0.1964,rnp-8,2140,WBGene00020091,171627.0,"['germ line', 'oocyte']"
42,-0.3776,3.784,#858585,0.9866,1.0,R119.2,1740,WBGene00020088,187899.0,
43,-1.052,3.964,#858585,0.4329,0.982,R119.3,883,WBGene00020089,171628.0,
44,-0.3342,8.837,#858585,0.9013,1.0,pqn-59,2313,WBGene00004143,266819.0,
45,-0.4487,4.695,#858585,0.9231,1.0,taf-4,1887,WBGene00006385,171630.0,
46,-0.317,4.913,#858585,0.9514,1.0,R119.5,2129,WBGene00020090,171631.0,
47,-0.7551,6.389,#858585,0.7462,1.0,otub-2,2392,WBGene00021733,171633.0,
48,1.42,1.516,#858585,0.1151,0.3702,Y50C1A.2,1221,WBGene00021734,190091.0,
49,0.5428,1.848,#858585,0.9249,1.0,C07F11.2,1571,WBGene00015570,171634.0,
50,-1.496,6.372,#858585,0.1433,0.44,tol-1,4080,WBGene00006593,171635.0,['neurons']
51,-0.4737,4.875,#858585,0.8922,1.0,W04C9.4,549,WBGene00021026,171636.0,
52,1.684,1.02,#858585,0.0497,0.1874,W04C9.5,1110,WBGene00021027,189184.0,
53,0.9386,3.266,#858585,0.5645,1.0,W04C9.8,557,WBGene00235387,,
54,0.03428,4.746,#858585,0.9918,1.0,W04C9.2,452,WBGene00021024,171638.0,
55,-1.134,5.744,#858585,0.3136,0.7872,haf-4,2531,WBGene00001814,171639.0,
56,5.165,0.2489,#858585,0.01073,0.05636,Y65B4BL.4,1143,WBGene00022036,171641.0,
57,0.5798,0.3582,#858585,0.8078,1.0,Y65B4BL.7,922,WBGene00022039,3564829.0,
58,-0.4399,7.134,#858585,0.872,1.0,acs-13,2867,WBGene00022037,171643.0,['head']
59,-2.386,6.784,#858585,0.02766,0.1176,Y65B4BL.1,1447,WBGene00022033,171644.0,
60,-0.09831,3.358,#858585,0.9941,1.0,psf-3,735,WBGene00022043,171645.0,
61,0.4347,9.72,#858585,0.8949,1.0,icd-2,788,WBGene00022042,171646.0,['intestinal cell']
62,-0.6624,7.67,#858585,0.7392,1.0,wwp-1,3001,WBGene00007009,171647.0,"['GABAergic neurons', 'cholinergic neurons', 'coelomocyte', 'somatic neurons', 'and vulval muscle']"
63,-0.3807,5.736,#858585,0.9459,1.0,ptr-21,3319,WBGene00004235,191752.0,
64,0.8151,4.046,#858585,0.7281,1.0,Y65B4BR.1,1232,WBGene00022040,190488.0,
65,-0.3234,4.81,#858585,0.9168,1.0,hum-7,5702,WBGene00002040,171650.0,"['accessory cell', 'pharynx', 'pm6', 'pm7', 'and terminal bulb']"
66,0.3516,3.202,#858585,0.9474,1.0,eme-1,1439,WBGene00018923,171652.0,
67,0.5997,2.495,#858585,0.8347,1.0,sago-2,2936,WBGene00018921,171653.0,
68,-0.6429,6.496,#858585,0.7686,1.0,Y65B4A.6,2818,WBGene00022029,190485.0,
69,0.5601,5.788,#858585,0.9519,1.0,vps-20,804,WBGene00022027,171654.0,
70,0.9048,4.822,#858585,0.6518,1.0,Y65B4A.2,1769,WBGene00022026,171655.0,
71,-0.05528,5.362,#858585,0.9944,1.0,cus-2,1533,WBGene00022025,171656.0,
72,-1.238,3.792,#858585,0.1754,0.5125,Y65B4A.8,1971,WBGene00022031,171657.0,
73,-0.4468,1.846,#858585,0.9284,1.0,Y18H1A.11,891,WBGene00021215,353380.0,
74,0.1913,4.831,#858585,0.9806,1.0,Y18H1A.4,957,WBGene00021210,171661.0,
75,0.3116,3.87,#858585,0.9844,1.0,Y18H1A.2,944,WBGene00021208,,
76,-1.471,5.899,#858585,0.1541,0.4655,hgap-1,4305,WBGene00021209,171663.0,
77,-0.6095,1.672,#858585,0.835,1.0,rec-1,1766,WBGene00004332,171664.0,
78,-1.177,2.777,#858585,0.3681,0.8789,pif-1,2380,WBGene00004028,171665.0,
79,-2.006,-0.1407,#858585,0.02622,0.1127,Y18H1A.8,456,WBGene00021212,171667.0,
80,-2.067,7.103,#858585,0.04019,0.1576,zfh-2,5491,WBGene00022518,171670.0,"['anal depressor muscle', 'anal sphincter muscle', 'body wall musculature', 'nerve ring', 'and vulval muscle']"
81,-1.006,5.554,#858585,0.4901,1.0,ZC123.4,1864,WBGene00022519,171672.0,
82,-1.331,5.712,#858585,0.2054,0.5772,Y95B8A.8,2588,WBGene00022388,190806.0,
83,-1.082,6.025,#858585,0.3977,0.9279,pde-6,3050,WBGene00022389,190808.0,
84,0.7145,3.687,#858585,0.8665,1.0,Y95B8A.6,1915,WBGene00022386,171674.0,
85,0.6709,1.858,#858585,0.7599,1.0,him-19,1409,WBGene00022390,190809.0,
86,-0.7614,3.902,#858585,0.7809,1.0,gpa-16,1302,WBGene00001678,171675.0,"['several structures', 'including Psub4', 'Z2', 'Z3', 'neurons', 'and vulval muscle']"
87,-0.5454,5.313,#858585,0.9424,1.0,prhg-1,2016,WBGene00022391,190810.0,
88,-1.579,5.502,#858585,0.07277,0.2567,Y95B8A.2,913,WBGene00022383,171676.0,
89,-2.453,3.623,#858585,0.0108,0.05666,nas-30,2225,WBGene00003548,190803.0,['rectal epithelium']
90,0.478,3.418,#858585,0.9601,1.0,mig-1,1777,WBGene00003238,171677.0,"['anal depressor muscle', 'head muscle', 'and neurons']"
91,0.05181,5.137,#858585,0.9912,1.0,shc-1,5325,WBGene00018788,3565745.0,"['gonad', 'head', 'neurons', 'and tail']"
92,-0.7704,2.727,#858585,0.7853,1.0,C54G6.3,1140,WBGene00016932,183815.0,
93,1.473,0.6372,#858585,0.1101,0.3575,C54G6.2,1467,WBGene00016931,183814.0,
94,-1.798,3.614,#858585,0.3304,0.8165,spp-17,371,WBGene00005002,171681.0,
95,0.9119,1.422,#858585,0.6326,1.0,spp-23,395,WBGene00021335,259362.0,
96,-0.6529,5.488,#858585,0.9127,1.0,mrpl-38,1332,WBGene00021327,171682.0,['tail']
97,-0.577,4.626,#858585,0.822,1.0,spd-1,1791,WBGene00004952,171683.0,
98,-1.023,4.364,#858585,0.4762,1.0,Y34D9A.3,2489,WBGene00021329,171684.0,
99,-1.138,3.721,#858585,0.3674,0.8777,Y34D9A.7,1398,WBGene00021332,189588.0,
100,1.431,5.461,#858585,0.1052,0.3448,glrx-10,414,WBGene00021331,171685.0,
101,1.282,3.24,#858585,0.2161,0.6006,Y34D9A.8,792,WBGene00021333,189589.0,
102,0.1507,6.848,#858585,0.9748,1.0,vps-4,1791,WBGene00021334,189590.0,
103,0.1953,3.625,#858585,0.991,1.0,npr-23,1486,WBGene00021328,189587.0,
104,-1.25,5.23,#858585,0.3287,0.8145,gsa-1,2312,WBGene00001745,171687.0,"['several structures', 'including excretory cell', 'intestine', 'neurons', 'non-striated muscle', 'and somatic nervous system']"
105,0.2054,2.045,#858585,0.9884,1.0,R06A10.1,559,WBGene00019909,187633.0,
106,0.6819,4.759,#858585,0.8621,1.0,R06A10.4,1581,WBGene00019911,171688.0,
107,-0.2071,2.043,#858585,0.9848,1.0,ZK993.2,1471,WBGene00022838,191481.0,
108,2.154,-0.1691,#858585,0.1897,0.5435,ZK993.5,1325,WBGene00236809,24105306.0,
109,-0.476,4.429,#858585,0.823,1.0,Y48G8AL.10,3887,WBGene00021689,3565634.0,
110,-0.184,5.023,#858585,0.9943,1.0,aps-3,1470,WBGene00000165,171691.0,
111,-0.1499,10.53,#858585,0.9562,1.0,rpl-17,637,WBGene00004429,171692.0,
112,-0.3296,2.415,#858585,0.9297,1.0,Y48G8AL.7,785,WBGene00021687,171693.0,
113,-1.579,4.233,#858585,0.02429,0.1063,haf-6,2207,WBGene00001816,171694.0,"['germ line', 'intestine', 'and muscle cell']"
114,-1.21,5.945,#858585,0.3298,0.816,smg-2,4677,WBGene00004880,171696.0,"['intestinal cell', 'muscle cell']"
115,-0.4328,6.894,#858585,0.9229,1.0,Y48G8AL.5,2524,WBGene00021686,171697.0,
116,-0.8769,5.816,#858585,0.6686,1.0,herc-1,3240,WBGene00021685,171700.0,
117,1.237,5.737,#858585,0.1792,0.521,Y48G8AL.13,1217,WBGene00021691,171699.0,
118,0.389,2.814,#858585,0.9134,1.0,Y48G8AL.15,572,WBGene00021692,259363.0,
119,1.265,1.807,#858585,0.211,0.5895,Y48G8AR.2,1175,WBGene00021693,171702.0,
120,-1.692,6.553,#858585,0.09975,0.3306,dapk-1,4997,WBGene00003400,187322.0,
121,1.267,1.163,#858585,0.3124,0.7854,K12C11.3,629,WBGene00019674,187321.0,
122,1.395,1.719,#858585,0.2219,0.6131,K12C11.6,503,WBGene00045052,4926921.0,
123,1.027,1.631,#858585,0.4863,1.0,K12C11.7,622,WBGene00045053,4926895.0,
124,-0.3683,6.36,#858585,0.9515,1.0,smo-1,475,WBGene00004888,266820.0,"['several structures', 'including P3']"
125,-0.8721,5.253,#858585,0.7133,1.0,K12C11.1,1634,WBGene00019673,171704.0,
126,-0.25,5.312,#858585,0.9917,1.0,Y92H12BL.1,2045,WBGene00022363,190786.0,
127,-0.3871,4.367,#858585,0.9886,1.0,Y92H12BL.5,1384,WBGene00022366,259365.0,
128,-1.026,3.969,#858585,0.4719,1.0,Y92H12BL.4,1194,WBGene00022365,190787.0,
129,-1.12,3.591,#858585,0.3939,0.9212,Y92H12BM.1,1108,WBGene00022367,190788.0,
130,-0.6138,3.573,#858585,0.7664,1.0,Y92H12BR.7,1758,WBGene00022372,190789.0,
131,-1.285,3.234,#858585,0.1786,0.5193,set-29,1283,WBGene00022371,171705.0,"['intestine', 'muscle cell']"
132,-0.2274,4.308,#858585,0.9787,1.0,Y92H12BR.2,701,WBGene00022368,171706.0,
133,-0.7621,7.179,#858585,0.7504,1.0,Y92H12BR.3,2512,WBGene00022369,171707.0,
134,-0.9761,3.422,#858585,0.526,1.0,Y92H12BR.4,1205,WBGene00022370,,
135,-1.052,5.673,#858585,0.4239,0.969,mrpl-15,1027,WBGene00022373,171710.0,
136,-0.6469,4.478,#858585,0.7802,1.0,F37F2.2,521,WBGene00018159,171711.0,
137,-0.8257,4.477,#858585,0.6764,1.0,spe-15,3889,WBGene00004969,171712.0,
138,2.989,0.4579,#858585,0.01312,0.06586,gst-25,649,WBGene00001773,24104550.0,
139,0.2867,5.043,#858585,0.9166,1.0,acs-16,1864,WBGene00018579,171714.0,
140,-0.1254,4.72,#858585,0.9948,1.0,dyb-1,1969,WBGene00001115,171715.0,"['body wall musculature', 'non-striated muscle', 'somatic nervous system', 'and tail neurons']"
141,-0.9373,5.722,#858585,0.5542,1.0,Y92H12A.5,4592,WBGene00022361,171716.0,
142,-1.636,4.872,#858585,0.1457,0.4456,Y92H12A.4,3880,WBGene00022360,3565441.0,
143,-0.0224,6.708,#858585,0.9951,1.0,Y92H12A.2,2659,WBGene00022358,171719.0,
144,-1.264,6.532,#858585,0.2574,0.6835,src-1,2629,WBGene00005077,171722.0,"['several structures', 'including anchor cell', 'anus', 'distal tip cell', 'head neurons', 'and vulval cell']"
145,-1.113,3.521,#858585,0.3276,0.8123,Y73E7A.3,1963,WBGene00022270,190665.0,
146,0.2408,5.772,#858585,0.9749,1.0,cpx-1,762,WBGene00022271,190666.0,"['head neurons', 'motor neurons', 'nervous system', 'tail neurons', 'and ventral cord neurons']"
147,2.415,-0.1845,#858585,0.03298,0.1346,Y73E7A.5,648,WBGene00022272,,
148,-0.1125,4.343,#858585,0.9967,1.0,Y73E7A.2,1548,WBGene00022269,171723.0,
149,-0.05394,3.126,#858585,0.9896,1.0,Y73E7A.6,535,WBGene00022273,171724.0,
150,-0.2898,4.035,#858585,0.9661,1.0,adpr-1,1814,WBGene00044440,3565128.0,
151,-0.4096,4.327,#858585,0.9845,1.0,bre-4,1430,WBGene00000269,190668.0,
152,1.445,5.815,#858585,0.05377,0.2,Y73E7A.1,827,WBGene00022268,171725.0,
153,-0.7814,6.294,#858585,0.6827,1.0,mab-20,2618,WBGene00003111,171727.0,"['several structures', 'including linker cell', 'ray neurons', 'ray precursor cell', 'somatic nervous system', 'and vulval cell']"
154,-1.443,2.756,#858585,0.1133,0.3654,Y71G12B.23,967,WBGene00022158,171731.0,
155,-0.2691,2.611,#858585,0.9697,1.0,Y71G12B.35,1104,WBGene00185098,13179386.0,
156,0.9984,1.95,#858585,0.5031,1.0,drag-1,1287,WBGene00022154,190602.0,"['hypodermis', 'intestine']"
157,0.5997,2.535,#858585,0.8842,1.0,Y71G12B.31,1272,WBGene00044348,3565511.0,
158,-0.1437,7.237,#858585,0.9938,1.0,ubc-3,1330,WBGene00006702,171734.0,
159,0.1075,3.575,#858585,0.9762,1.0,lsm-6,355,WBGene00003080,190601.0,"['body wall musculature', 'hermaphrodite somatic gonadal cell', 'and muscle cell']"
160,-0.5012,5.818,#858585,0.8397,1.0,Y71G12B.13,1663,WBGene00022153,190600.0,
161,-0.04981,5.26,#858585,0.9992,1.0,atg-5,1037,WBGene00022152,171735.0,
162,-1.629,8.527,#858585,0.2,0.5652,tln-1,8599,WBGene00006771,171736.0,"['several structures', 'including Psub4', 'Z2', 'Z3', 'distal tip cell', 'and vulval cell']"
163,0.1729,4.125,#858585,0.9913,1.0,Y71G12B.10,1064,WBGene00022150,171738.0,
164,-0.8034,5.229,#858585,0.6894,1.0,lin-65,2624,WBGene00022149,171739.0,"['head neurons', 'intestine']"
165,-0.9292,6.043,#858585,0.5903,1.0,ddx-27,2427,WBGene00022148,171743.0,
166,-1.17,6.493,#858585,0.282,0.7298,Y71G12B.6,1249,WBGene00022146,171744.0,
167,0.1078,-0.07707,#858585,0.9523,1.0,Y71G12B.5,3773,WBGene00022145,190598.0,
168,0.202,8.017,#858585,0.9877,1.0,pghm-1,1169,WBGene00022144,171746.0,"['head ganglion', 'nervous system', 'and tail ganglion']"
169,0.4479,0.1104,#858585,0.8935,1.0,Y71G12B.32,863,WBGene00044349,3565893.0,
170,0.1918,2.0,#858585,0.9897,1.0,Y71G12B.2,966,WBGene00022142,190596.0,
171,-0.1899,2.44,#858585,0.9333,1.0,C53H9.3,483,WBGene00044746,4363011.0,
172,0.1399,7.722,#858585,0.99,1.0,C53H9.2,1725,WBGene00016907,171749.0,
173,-0.04834,10.81,#858585,0.9875,1.0,rpl-27,464,WBGene00004441,171750.0,
174,-1.57,8.369,#858585,0.08492,0.2908,egl-30,2673,WBGene00001196,171751.0,"['several structures', 'including vulval cell']"
175,-0.9334,4.672,#858585,0.5768,1.0,emr-1,657,WBGene00001309,171752.0,
176,-1.498,6.725,#858585,0.07578,0.2655,nlp-12,380,WBGene00003750,171753.0,"['DVA', 'PVDL', 'PVDR', 'coelomocyte', 'and tail neurons']"
177,-1.286,2.576,#858585,0.1576,0.4735,tag-96,1390,WBGene00006461,171755.0,
178,-0.9177,5.908,#858585,0.5917,1.0,scm-1,1403,WBGene00004743,171756.0,"['amphid neurons', 'coelomocyte', 'and spermatheca']"
179,-0.7214,6.887,#858585,0.7088,1.0,tub-2,2921,WBGene00022139,171758.0,
180,-1.347,4.732,#858585,0.1542,0.4656,trpp-10,3726,WBGene00022138,3564796.0,
181,-0.01241,4.636,#858585,0.995,1.0,Y51F10.7,792,WBGene00021768,171761.0,
182,-0.9346,4.591,#858585,0.5985,1.0,hex-4,1777,WBGene00021766,245995.0,['seam cell']
183,-0.4709,5.146,#858585,0.9714,1.0,Y51F10.4,1978,WBGene00021765,245996.0,
184,0.5487,5.025,#858585,0.9505,1.0,spe-48,1269,WBGene00021771,245997.0,
185,0.09636,3.48,#858585,0.996,1.0,Y51F10.11,1126,WBGene00044438,3565247.0,
186,-0.2756,5.115,#858585,0.9597,1.0,Y51F10.3,1256,WBGene00021764,259367.0,
187,0.2051,2.671,#858585,0.9931,1.0,Y51F10.2,1126,WBGene00021763,245998.0,
188,-0.9109,4.798,#858585,0.5708,1.0,gap-3,3310,WBGene00021238,260016.0,"['several structures', 'including body wall musculature', 'egg-laying apparatus', 'germ cell', 'head neurons', 'and spermatheca']"
189,0.3589,5.702,#858585,0.9423,1.0,crtc-1,2163,WBGene00021237,259368.0,"['RICL', 'RICR', 'head neurons', 'intestine', 'and tail neurons']"
190,-0.39,4.881,#858585,0.8572,1.0,Y20F4.4,2324,WBGene00021239,245999.0,
191,-0.4419,1.512,#858585,0.884,1.0,linc-30,2375,WBGene00219749,,
192,-0.9466,1.172,#858585,0.5486,1.0,Y20F4.8,1038,WBGene00044435,3565842.0,
193,-0.9684,4.312,#858585,0.5436,1.0,Y37E3.1,1413,WBGene00021346,171762.0,
194,-0.1286,3.477,#858585,0.969,1.0,rpb-10,343,WBGene00021347,171763.0,
195,-0.9343,5.693,#858585,0.5579,1.0,moag-4,510,WBGene00021348,171764.0,
196,1.028,3.022,#858585,0.4759,1.0,arl-13,1135,WBGene00021349,171765.0,"['ciliated neurons', 'head']"
197,-0.2447,9.993,#858585,0.9298,1.0,rla-1,453,WBGene00004409,171766.0,
198,0.002886,10.72,#858585,0.9991,1.0,Y37E3.8,497,WBGene00021350,171767.0,
199,-0.8398,6.94,#858585,0.6944,1.0,phb-1,1078,WBGene00004014,171768.0,"['several structures', 'including body wall musculature', 'excretory canal', 'hypodermis', 'intestine', 'and pharynx']"
200,-1.185,7.368,#858585,0.281,0.7279,eif-2alpha,1547,WBGene00021351,171769.0,
201,1.269,5.874,#858585,0.1325,0.4139,pcyt-2.1,1622,WBGene00021352,171770.0,
202,0.8004,3.302,#858585,0.7822,1.0,iglr-3,1493,WBGene00021353,171771.0,
203,-1.376,6.336,#858585,0.209,0.585,npp-13,3266,WBGene00003799,171774.0,
204,2.212,3.664,#858585,0.01064,0.05602,fpn-1.1,1732,WBGene00021354,171773.0,
205,-1.259,7.608,#858585,0.2135,0.5951,Y37E3.17,2724,WBGene00021355,171775.0,
206,-1.178,2.26,#858585,0.3469,0.8446,Y37E3.30,831,WBGene00235158,24105068.0,
207,-1.563,7.153,#858585,0.1668,0.494,afd-1,5665,WBGene00021009,171776.0,
208,-1.832,2.611,#858585,0.01106,0.05771,W03F11.5,953,WBGene00021008,171777.0,
209,0.9873,0.3213,#858585,0.5127,1.0,gcy-17,3313,WBGene00001542,191649.0,"['PHAL', 'PHAR', 'and head']"
210,1.559,2.957,#858585,0.08317,0.2863,slc-17.6,2171,WBGene00017398,171781.0,
211,-0.4947,6.387,#858585,0.7992,1.0,abt-2,6670,WBGene00000020,171782.0,
212,1.596,-0.2779,#858585,0.2272,0.6246,Y39G10AL.1,1211,WBGene00021458,171783.0,
213,1.201,5.786,#858585,0.2674,0.7026,cdk-7,1347,WBGene00000408,171784.0,
214,0.8209,8.009,#858585,0.6672,1.0,Y39G10AR.11,2868,WBGene00021469,171785.0,
215,-1.9,4.304,#858585,0.03749,0.1489,tpxl-1,2151,WBGene00021470,171786.0,
216,0.4418,6.121,#858585,0.8576,1.0,epg-2,2290,WBGene00021468,171787.0,
217,-1.081,4.729,#858585,0.4239,0.969,icp-1,2103,WBGene00002047,171788.0,
218,-0.7998,4.148,#858585,0.7973,1.0,Y39G10AR.9,1509,WBGene00021467,171789.0,
219,-1.442,3.673,#858585,0.04885,0.1847,nsun-4,1525,WBGene00021476,171790.0,
220,-0.346,4.123,#858585,0.9898,1.0,tbca-1,462,WBGene00021475,171791.0,
221,-0.8117,7.454,#858585,0.7122,1.0,eif-2gamma,1693,WBGene00021466,171792.0,['tail']
222,0.8773,2.858,#858585,0.6505,1.0,Y39G10AR.32,486,WBGene00219275,13179495.0,
223,0.5721,3.985,#858585,0.8985,1.0,ugt-31,1673,WBGene00021464,189771.0,
224,0.6818,2.547,#858585,0.7462,1.0,nekl-1,3169,WBGene00021461,189769.0,"['amphid neurons', 'lumbar neurons']"
225,-0.4952,2.264,#858585,0.8116,1.0,sydn-1,1737,WBGene00021473,189773.0,"['germ cell', 'hypodermis', 'neurons', 'and oocyte']"
226,-1.269,6.756,#858585,0.2995,0.763,dot-1.1,3553,WBGene00021474,171797.0,
227,-1.572,4.434,#858585,0.03232,0.1326,zwl-1,2062,WBGene00021460,171798.0,
228,-0.7071,4.511,#858585,0.8861,1.0,F23C8.13,799,WBGene00017741,171799.0,
229,-0.169,6.495,#858585,0.973,1.0,F23C8.5,1371,WBGene00017734,171800.0,
230,1.291,6.557,#858585,0.1253,0.3959,did-2,896,WBGene00017735,171801.0,"['several structures', 'including anal depressor muscle', 'hypodermis', 'intestine', 'nervous system', 'and vulva']"
231,-1.479,0.5804,#858585,0.2009,0.5673,F23C8.7,1437,WBGene00017736,184892.0,
232,-0.8116,3.194,#858585,0.7182,1.0,tipn-1,884,WBGene00017738,171803.0,
233,-0.715,4.443,#858585,0.8636,1.0,ubxn-1,1040,WBGene00017733,171804.0,"['several structures', 'including gonad', 'spermatocyte']"
234,-0.1825,3.092,#858585,0.986,1.0,F23C8.3,807,WBGene00017732,184891.0,
235,-0.1099,1.189,#858585,0.9826,1.0,F23C8.1,1259,WBGene00017731,,
236,-0.5688,2.561,#858585,0.8958,1.0,inx-19,1623,WBGene00002141,171805.0,"['several structures', ""including K\\' cell"", 'head neurons', 'hermaphrodite distal tip cell', 'intestine', 'and lumbar neurons']"
237,0.9034,5.412,#858585,0.6275,1.0,Y74C10AL.2,672,WBGene00022280,171806.0,
238,-0.2871,4.816,#858585,0.9467,1.0,abtm-1,2479,WBGene00022281,171807.0,"['coelomocyte', 'hypodermis', 'intestine', 'and spermatheca']"
239,-0.5876,7.142,#858585,0.9262,1.0,eif-3.I,1267,WBGene00001232,171809.0,
240,-0.5213,5.695,#858585,0.9045,1.0,Y23H5B.6,2317,WBGene00021277,171810.0,
241,-1.424,5.961,#858585,0.0712,0.2522,Y23H5B.5,2265,WBGene00021276,171811.0,
242,-0.6927,1.691,#858585,0.7093,1.0,Y23H5B.3,625,WBGene00021274,189526.0,
243,-1.794,1.441,#858585,0.03137,0.1293,Y23H5B.8,625,WBGene00021279,189528.0,
244,-1.035,3.066,#858585,0.4551,1.0,Y23H5B.1,701,WBGene00021272,189524.0,
245,0.5011,5.969,#858585,0.9412,1.0,aat-5,1895,WBGene00000006,171814.0,
246,-0.9916,7.089,#858585,0.509,1.0,fbp-1,2130,WBGene00001404,266822.0,
247,-0.2377,6.682,#858585,0.9455,1.0,ctn-1,3139,WBGene00000832,171818.0,"['body wall musculature', 'non-striated muscle', 'and somatic nervous system']"
248,-1.392,4.548,#858585,0.08828,0.299,pid-3,1054,WBGene00021270,171819.0,
249,-0.07683,1.736,#858585,0.9883,1.0,Y23H5A.2,666,WBGene00021269,171820.0,
250,-0.8338,7.142,#858585,0.6521,1.0,cars-1,2988,WBGene00000800,171821.0,
251,-0.3771,4.239,#858585,0.9419,1.0,cars-2,1744,WBGene00000801,,
252,0.2669,0.2089,#858585,0.9451,1.0,Y23H5A.8,666,WBGene00023172,24105057.0,
253,-0.5074,3.928,#858585,0.9179,1.0,mage-1,853,WBGene00018230,185532.0,['hypodermis']
254,1.529,2.297,#858585,0.1243,0.3934,F40E3.5,1230,WBGene00018232,171824.0,
255,1.084,6.247,#858585,0.3831,0.9028,F32B5.6,3041,WBGene00017979,171827.0,
256,-0.7779,6.056,#858585,0.7462,1.0,F32B5.7,2753,WBGene00017980,171828.0,
257,0.4321,6.558,#858585,0.8611,1.0,cpz-1,1059,WBGene00000788,171829.0,"['several structures', 'including anterior hypodermis', 'cuticle', 'intestine', 'pharynx', 'and vulva']"
